track_name,artist_name,release_date,danceability,energy,valence,tempo,loudness,acousticness,popularity
Clandestina,Drinche,2021-01-02,0.809,0.523,0.235,117.999,-11.734000000000002,0.00108,36
Моя голова винтом (My head is spinning like a screw),kostromin,2021-02-02,0.833,0.748,0.484,119.925,-5.962999999999999,0.0331,78
Buss It,Erica Banks,2020-05-15,0.918,0.434,0.75,109.997,-9.541,0.569,39
Rasputin - Club Mix,Boney M.,2011-02-21,0.7190000000000001,0.907,0.975,127.153,-5.154,0.1669999999999999,64
Karma,Drinche,2020-11-02,0.615,0.8170000000000001,0.467,94.996,-8.82,0.0221,38
Maneater,Nelly Furtado,2006-01-01,0.7959999999999999,0.777,0.787,132.722,-4.81,0.0261,79
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",1985-01-01,0.802,0.488,0.624,95.77,-9.304,0.5720000000000001,80
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,2021-01-21,0.722,0.893,0.439,119.932,-3.255,0.0441,88
I'm not Pretty,JESSIA,2021-01-08,0.7829999999999999,0.526,0.902,75.002,-6.478,0.0802,54
Aesthetic,Xilo,2020-02-14,0.7140000000000001,0.594,0.45,169.83700000000002,-10.63,0.965,67
Home,Edith Whiskers,2020-11-13,0.72,0.1969999999999999,0.284,120.024,-12.494000000000002,0.981,71
Track Star,Mooski,2021-02-09,0.6409999999999999,0.598,0.285,131.459,-5.7,0.381,80
Ya Tabtab,Drinche,2020-08-16,0.768,0.5489999999999999,0.552,119.99,-13.255,0.275,27
Streets,Doja Cat,2019-11-07,0.7490000000000001,0.4629999999999999,0.19,90.02799999999999,-8.433,0.208,91
Cigarette Daydreams,Cage The Elephant,2013-10-08,0.636,0.6759999999999999,0.273,113.98,-3.4419999999999997,0.0807,54
Runaway,AURORA,2014-01-01,0.521,0.2769999999999999,0.13,115.01,-10.34,0.634,83
Dancing in My Room,347aidan,2020-10-26,0.979,0.41,0.74,119.971,-11.056,0.6579999999999999,11
Desperado,Rihanna,2016-01-28,0.685,0.61,0.3229999999999999,94.384,-5.221,0.3229999999999999,75
Cry Baby (feat. DaBaby),Megan Thee Stallion,2020-11-20,0.957,0.437,0.616,130.058,-7.882000000000001,0.00402,80
dirty laundry,blackbear,2015-02-14,0.7659999999999999,0.64,0.67,100.044,-8.899,0.051,73
Sahara,Drinche,2020-02-19,0.764,0.723,0.192,123.015,-9.168,0.128,24
Hayloft,Mother Mother,2008-09-23,0.527,0.922,0.49,95.975,-2.6660000000000004,0.00475,84
Cloud 9,Beach Bunny,2020-02-14,0.627,0.935,0.903,80.986,-3.2569999999999997,0.00145,62
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013-01-01,0.691,0.631,0.8,92.004,-6.478,0.0483,63
Promiscuous,Nelly Furtado,2006-01-01,0.8079999999999999,0.97,0.868,114.328,-6.098,0.0569,82
Plastic,Unghetto Mathieu,2020-05-29,0.626,0.7340000000000001,0.6920000000000001,130.42700000000002,-3.96,0.023,67
It's Tricky,Run–D.M.C.,1986-05-15,0.965,0.857,0.951,127.656,-8.458,0.00131,73
Sweater Weather,The Neighbourhood,2013-04-19,0.612,0.807,0.3979999999999999,124.053,-2.81,0.0495,88
oops!,Yung Gravy,2020-10-02,0.8859999999999999,0.743,0.941,131.90200000000002,-6.797000000000001,0.0358,76
Hot N*gga,Bobby Shmurda,2014-07-25,0.794,0.51,0.18,167.87900000000002,-7.314,0.0505,75
Arabian Nights,Drinche,2019-11-16,0.754,0.643,0.618,119.999,-9.715,0.444,29
I Am (feat. Flo Milli),Yung Baby Tate,2020-12-04,0.932,0.835,0.926,144.02,-3.905,0.105,72
Freak,Doja Cat,2020-08-07,0.688,0.716,0.373,116.912,-5.702000000000001,0.0969,77
I'm Legit,Nicki Minaj,2012-01-01,0.8590000000000001,0.746,0.5429999999999999,75.002,-3.014,0.0301,66
UCKERS,Shygirl,2019-06-12,0.773,0.555,0.501,97.992,-7.169,0.0154,43
WITHOUT YOU,The Kid LAROI,2020-11-06,0.662,0.413,0.467,93.005,-7.357,0.213,91
Lotus Flower Bomb (feat. Miguel),Wale,2011-10-28,0.512,0.598,0.345,70.189,-4.959,0.611,70
Bang Bang Bang Bang,Sohodolls,2007-09-24,0.7290000000000001,0.581,0.352,93.997,-7.091,0.531,64
Hayati,Drinche,2020-05-03,0.716,0.4379999999999999,0.266,105.055,-13.905,0.53,18
Steven Universe,L.Dre,2020-02-21,0.6759999999999999,0.0674,0.214,77.03699999999999,-13.899,0.841,67
Jenny (I Wanna Ruin Our Friendship),Studio Killers,2020-12-04,0.6679999999999999,0.7979999999999999,0.575,133.928,-5.7010000000000005,0.00305,75
Violent,carolesdaughter,2020-11-23,0.797,0.755,0.411,129.955,-5.393,0.331,78
Space Girl,Frances Forever,2020-03-27,0.67,0.3979999999999999,0.2189999999999999,125.983,-9.14,0.319,19
Hadal Ahbek,Issam Alnajjar,2020-09-27,0.8059999999999999,0.47,0.442,95.003,-9.985,0.156,46
Adderall (Corvette Corvette),Popp Hunna,2020-10-15,0.913,0.391,0.713,141.05,-11.158,0.272,72
Put Your Records On,Ritt Momney,2020-04-24,0.3989999999999999,0.492,0.159,91.066,-10.777,0.0579999999999999,4
Body,Megan Thee Stallion,2020-11-20,0.914,0.732,0.469,94.066,-6.1,0.0166,82
Paparazzi,Kim Dracula,2020-12-11,0.677,0.685,0.177,91.008,-5.643,0.0739,77
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,2021-01-29,0.539,0.615,0.493,163.924,-8.746,0.173,78
Sugar Daddy,Qveen Herby,2020-05-26,0.953,0.4529999999999999,0.0368,126.009,-7.197,0.0605,71
Dick (feat. Doja Cat),StarBoi3,2021-04-23,0.647,0.608,0.474,125.994,-6.831,0.13,86
Yeah Yeah,Young Nudy,2016-10-02,0.644,0.597,0.341,139.969,-8.305,0.0167,61
TELL EM,yoitsvic,2021-05-09,0.76,0.573,0.181,126.252,-13.402,0.174,51
Mix It,MoneyMarr,2020-12-18,0.812,0.586,0.23,153.094,-7.625,0.0232,46
MY STORY (DLOG),Mike Dimes,2021-05-08,0.936,0.251,0.6709999999999999,140.935,-15.98,0.287,48
Beat Box (feat. Young M.A) - Freestyle,SpotemGottem,2021-05-03,0.797,0.446,0.2339999999999999,160.095,-6.077999999999999,0.0306,70
Lights Down Low (feat. Waka Flocka Flame),Maejor,2012-03-23,0.7170000000000001,0.858,0.67,155.41,-3.469,0.0694,69
Never Left,Lil Tecca,2021-05-06,0.807,0.659,0.4379999999999999,82.465,-6.92,0.0224,84
Bundles (feat. Taylor Girlz),Kayla Nicole,2021-05-05,0.939,0.682,0.584,130.02200000000002,-5.931,0.0015199999999999,71
One Dance,Drake,2016-05-06,0.792,0.625,0.37,103.967,-5.609,0.0077599999999999,84
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),T-Pain,2014-01-01,0.7859999999999999,0.6890000000000001,0.8740000000000001,157.935,-6.1129999999999995,0.0093099999999999,70
She Make It Clap,Soulja Boy,2021-04-15,0.941,0.471,0.487,119.898,-13.087,0.0308,74
Beat Box 3 (feat. DaBaby),SpotemGottem,2021-02-26,0.853,0.426,0.201,160.05100000000002,-6.812,0.0765,81
BIG PURR (Prrdd) (feat. Pooh Shiesty),Coi Leray,2021-03-26,0.774,0.412,0.38,139.94299999999998,-8.619,0.026,77
Who Want Smoke?,Nardo Wick,2021-01-22,0.6890000000000001,0.62,0.452,75.488,-7.684,0.00159,66
CAP,T3,2020-12-15,0.866,0.644,0.942,156.014,-6.504,0.0361,43
Hot In Herre,Nelly,2002-06-25,0.956,0.745,0.912,107.075,-4.753,0.206,74
Sneaky Link,HXLLYWOOD,2020-12-25,0.861,0.644,0.765,76.915,-7.79,0.0953,73
Show Me Up,Lil Tecca,2021-04-06,0.674,0.4529999999999999,0.22,128.107,-10.293,0.155,76
With My Hoe!,C2d,2020-09-11,0.586,0.5379999999999999,0.188,140.107,-7.819,0.0248,73
